Collect    ,Time ,Sampling,DO  ,TEMP,pH   ,NO2+NO3,NH3_N ,TKN  ,Tot P,SO4   ,TDS,SS  ,VSS ,TURB,ALK,CL   ,F    ,TOC ,Phenol,Phenol,CN   ,CN-WAD,FOG,RADIOCHEM,RADIOCHEM,FEC_COL,Chloroph,As tot,As sol,Ba tot,Ba sol,B tot,B sol,Cd tot,Cd sol,Ca tot,Ca sol,Cr tot,Cr sol,Cr6   ,Cu tot,Cu sol,Fe tot,Fe sol,Pb tot,Pb sol,Mg tot,Mg sol,Mn tot,Mn sol,Hg tot,Hg sol,Ni tot,Ni sol,Se tot,Se sol,Ag tot,Ag sol,Zn tot,Zn sol,Zn sol,Hg LL,Hg LL,Benzene,Ethylbenzene,Toluene,Xylenes (total),m- and/or p-Xylenes,o-Xylene
2012-08-06 00:00:00,1200.0,WW_111,7.1,25.3,7.53,10.862,0.25,1.55,2.67,52.88,506.0,30.0,6.0,,94.0,137.0,0.67,12.4,<5,,<0.005,0.0017,,<1.60,5.6,450.0,23.6,,<0.02,0.032,,0.19,,,<0.001,48.0,,,<0.005,<6,,<0.005,,<0.1,,<0.02,18.0,,0.059,,<0.2,,,0.005,<0.005,,0.001,0.001,,0.03,,<5.0,,,,,,,
2012-08-06 00:00:00,1145.0,WW_92,5.2,28.9,7.41,4.487,0.29,1.16,1.3,68.36,486.0,8.0,<4,,125.0,99.0,0.53,4.7,<5,,<0.005,0.0012,<5,,,360.0,10.2,,<0.02,0.02,,0.21,,,<0.001,50.0,,,<0.005,<6,,<0.005,,<0.1,,<0.02,18.0,,0.045,,<0.2,,,0.005,<0.005,,0.001,0.001,,0.01,,,,,,,,,
2012-08-13 00:00:00,1100.0,WW_73,6.3,22.0,7.2,5.46,0.36,1.2,1.12,46.52,510.0,26.0,5.0,,138.0,124.0,0.75,4.4,<5,,<0.005,0.0011,<5,,,6800.0,7.8,,<0.02,0.028,,0.17,,,<0.001,54.0,,,<0.005,<6,,<0.005,,0.1,,<0.02,20.0,,0.051,,<0.2,,,<0.005,0.005,,0.001,0.001,,0.02,,T/X,L,<2,<2,<2,<3,<3,<3
2012-08-13 00:00:00,920.0,WW_112,6.3,21.6,7.26,1.517,0.11,<1,0.35,48.52,590.0,36.0,8.0,,136.0,179.0,0.39,5.9,<5,,<0.005,0.0011,<5,<1.70,3.8,940.0,20.3,,<0.02,0.038,,0.11,,,<0.001,47.0,,,<0.005,<6,,<0.005,,<0.1,,<0.02,20.0,,0.079,,<0.2,,,<0.005,<0.005,,<0.001,0.001,,0.01,,<5.0,,,,,,,
2012-08-13 00:00:00,940.0,WW_36,6.8,22.0,7.27,5.708,0.68,1.41,1.34,41.48,426.0,7.0,<4,,130.0,85.0,0.68,3.9,<5,,<0.005,0.0013,<5,<1.40,2.8,25000.0,0.9,,<0.02,0.022,,0.15,,,<0.001,49.0,,,<0.005,<6,,<0.005,,<0.1,,<0.02,17.0,,0.016,,<0.2,,,<0.005,<0.005,,0.001,0.001,,0.02,,<5.0,,<2,<2,<2,<3,<3,<3
2012-08-13 00:00:00,1035.0,WW_96,2.7,22.6,7.8,1.09,<0.1,<1,0.32,47.1,550.0,26.0,6.0,,138.0,177.0,0.42,5.6,<5,,<0.005,0.001,,<2.00,2.1,1300.0,31.6,,<0.02,0.037,,0.1,,,<0.001,48.0,,,<0.005,<6,,<0.005,,0.1,,<0.02,20.0,,0.073,,<0.2,,,<0.005,<0.005,,0.001,0.001,,0.01,,T/X,L,<2,<2,<2,<3,<3,<3
2012-08-13 00:00:00,1000.0,WW_92,3.0,25.0,6.8,4.231,0.83,1.39,0.77,51.51,402.0,5.0,<4,,107.0,85.0,0.53,4.2,5.0,,0.006,0.0016,<5,,,140.0,7.3,,<0.02,0.017,,0.16,,,<0.001,43.0,,,<0.005,<6,,<0.005,,<0.1,,<0.02,15.0,,0.034,,<0.2,,,<0.005,<0.005,,<0.001,0.001,,0.02,,,,,,,,,
2012-08-20 00:00:00,900.0,WW_100,7.1,24.3,6.74,2.849,0.38,<1,0.36,34.19,308.0,9.0,<4,,114.0,66.0,0.38,3.4,<5,,<0.005,<0.001,,<1.50,1.6,200.0,2.1,,<0.02,0.024,,0.1,,,<0.001,41.0,,,<0.005,<6,,0.005,,<0.1,,<0.02,14.0,,0.061,,<0.2,,,<0.005,<0.005,,<0.001,0.001,,0.01,,24.53,,,,,,,
2012-08-20 00:00:00,925.0,WW_108,5.6,23.3,7.2,4.487,0.61,1.27,0.79,40.18,394.0,8.0,<4,,126.0,90.0,0.51,3.5,<5,,<0.005,0.0011,<5,,,210.0,3.5,,<0.02,0.025,,0.12,,,<0.001,47.0,,,<0.005,<6,,0.007,,<0.1,,<0.02,16.0,,0.025,,<0.2,,,<0.005,<0.005,,<0.001,0.001,,0.02,,,,,,,,,
2012-08-20 00:00:00,1020.0,WW_99,5.3,20.1,7.81,3.905,0.6,1.46,0.64,37.02,394.0,8.0,<4,,125.0,85.0,0.51,3.5,<5,,<0.005,<0.001,<5,,,70.0,13.3,,<0.02,0.025,,0.1,,,<0.001,45.0,,,<0.005,<6,,<0.005,,<0.1,,<0.02,15.0,,0.056,,<0.2,,,<0.005,<0.005,,<0.001,0.001,,0.01,,,,,,,,,
2012-08-20 00:00:00,900.0,WW_75,5.3,29.8,7.33,3.632,0.33,<1,0.58,37.75,370.0,8.0,<4,,119.0,81.0,0.48,4.0,<5,,<0.005,<0.001,<5,<1.40,1.7,200.0,11.5,,<0.02,0.023,,0.11,,,<0.001,44.0,,,<0.005,<6,,<0.005,,<0.1,,<0.02,15.0,,0.02,,<0.2,,,<0.005,<0.005,,<0.001,0.001,,0.01,,,,,,,,,
2012-08-20 00:00:00,930.0,WW_41,6.2,27.7,7.38,6.942,0.28,1.01,1.42,50.67,432.0,4.0,<4,,121.0,100.0,0.61,4.4,<5,,<0.005,0.0013,<5,<1.60,3.3,3200.0,8.2,,<0.02,0.019,,0.16,,,<0.001,50.0,,,<0.005,<6,,<0.005,,<0.1,,<0.02,17.0,,0.021,,<0.2,,,0.005,<0.005,,0.001,0.001,,0.01,,,,,,,,,
2012-08-20 00:00:00,945.0,WW_92,4.7,24.6,7.13,5.312,0.3,1.07,1.04,68.29,452.0,5.0,<4,,120.0,100.0,0.56,4.0,<5,,<0.005,0.0014,<5,<1.30,2.3,40.0,4.1,,<0.02,0.018,,0.18,,,<0.001,46.0,,,<0.005,<6,,<0.005,,<0.1,,<0.02,16.0,,0.041,,<0.2,,,0.005,<0.005,,<0.001,0.001,,0.01,,,,,,,,,
2012-08-20 00:00:00,1105.0,WW_48,5.5,25.4,7.22,4.458,0.35,1.22,1.05,57.65,424.0,6.0,<4,,117.0,92.0,0.47,4.3,T/X,P,<0.005,0.0016,<5,,,310.0,16.8,,<0.02,0.019,,0.16,,,<0.001,45.0,,,<0.005,<6,,<0.005,,<0.1,,<0.02,16.0,,0.029,,<0.2,,,<0.005,0.006,,<0.001,0.001,,0.01,,,,,,,,,
2012-08-27 00:00:00,925.0,WW_86,2.6,23.0,6.1,0.159,1.43,2.45,0.47,13.86,114.0,12.0,9.0,,50.0,24.0,0.21,4.9,<5,,<0.005,0.0016,<5,,,440000.0,6.6,,<0.02,0.013,,0.07,,,<0.001,16.0,,,<0.005,<6,,<0.005,,0.2,,<0.02,4.0,,0.091,,<0.2,,,<0.005,<0.005,,<0.001,<0.001,,0.01,,,,,,,,,
2012-08-27 00:00:00,950.0,WW_56,7.3,20.0,7.2,0.348,0.13,<1,0.11,30.78,242.0,10.0,<4,,107.0,47.0,0.21,2.3,<5,,<0.005,0.0011,<5,<1.30,1.8,840.0,8.5,,<0.02,0.028,,0.06,,,<0.001,35.0,,,<0.005,<6,,<0.005,,<0.1,,<0.02,13.0,,0.023,,<0.2,,,<0.005,<0.005,,<0.001,0.001,,<0.01,,,,,,,,,
2012-08-27 00:00:00,1010.0,WW_76,5.3,24.1,7.46,4.194,0.32,1.05,2.61,58.08,396.0,24.0,6.0,,136.0,91.0,0.55,4.2,<5,,<0.005,0.0015,<5,<1.60,3.1,24000.0,8.4,,<0.02,0.024,,0.16,,,<0.001,51.0,,,<0.005,<6,,<0.005,,<0.1,,<0.02,18.0,,0.148,,<0.2,,,<0.005,0.006,,0.001,0.001,,0.01,,,,,,,,,
2012-08-27 00:00:00,1030.0,WW_57,5.0,23.6,7.25,2.914,0.18,1.09,0.55,224.3,552.0,115.0,20.0,,88.0,80.0,0.42,4.6,<5,,<0.005,0.0012,,4.9,5.3,16000.0,6.0,,<0.02,0.033,,0.15,,,<0.001,39.0,,,<0.005,<6,,<0.005,,<0.1,,<0.02,15.0,,0.25,,<0.2,,,<0.005,<0.005,,<0.001,0.001,,0.01,,23.164,,, ,,,,
2012-08-27 00:00:00,935.0,WW_59,6.2,24.3,7.51,2.909,0.32,<1,2.28,72.6,370.0,15.0,4.0,,118.0,78.0,0.45,3.7,<5,,<0.005,0.0012,<5,,,9000.0,10.4,,<0.02,0.02,,0.13,,,<0.001,44.0,,,<0.005,<6,,<0.005,,<0.1,,<0.02,15.0,,0.042,,<0.2,,,<0.005,<0.005,,<0.001,0.001,,0.01,,,,,,,,,
2012-08-27 00:00:00,955.0,WW_43,6.2,23.3,6.23,1.382,0.25,1.04,0.85,34.48,188.0,60.0,13.0,,66.0,49.0,0.23,3.4,<5,,<0.005,0.0014,<5,,,28000.0,6.7,,<0.02,0.022,,0.07,,,<0.001,25.0,,,<0.005,<6,,<0.005,,<0.1,,<0.02,9.0,,0.052,,<0.2,,,<0.005,<0.005,,<0.001,0.001,,0.01,,,,,,,,,
2012-08-27 00:00:00,1040.0,WW_92,4.2,26.1,7.46,6.688,0.54,1.26,1.21,58.4,402.0,17.0,6.0,,109.0,94.0,0.63,4.0,<5,,<0.005,0.0013,<5,,,30000.0,5.5,,<0.02,0.019,,0.18,,,<0.001,45.0,,,<0.005,<6,,<0.005,,<0.1,,<0.02,15.0,,0.096,,<0.2,,,0.005,0.006,,<0.001,0.001,,0.01,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reporting Limit,,,,,,0.15,0.1,1.0,0.1,5.0,60.0,4.0,,1.0,10.0,10.0,0.1,1.0,5.0,,0.005,0.001,5.0,,,10.0,,,0.02,0.004,,0.05,,,0.001,1.0,,,0.005,6.0,,0.005,,0.1,,0.02,1.0,,0.001,,0.2,,,0.005,0.005,,0.001,0.001,,0.01,,0.5*,,2.0,2.0,2.0,3.0,3.0,3.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"* LL Hg: Based on the sample matrix some samples need to be diluted x2, x5 and x10.  The reporting limit ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"of 0.5 ng/L for LL Hg will then change by the same factor resulting in reporting limits of 1.0, 2.5, and 5.0 ng/L respectively.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"WW 73 and WW 96, August 13, 2012 LL Hg, T/X: L= Unable to confirm results.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"WW 48, August 20, 2012 Phenol, T/X: P= Aliquot discarded before analysis.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X= Matrix spike recovery failure.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
